"filename", "language", "Markdown", "C++", "comment", "blank", "total"
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\gcode\gcodeparseerror.cpp", "C++", 0, 11, 1, 2, 14
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\gcode\gcodeparseerror.h", "C++", 0, 26, 6, 11, 43
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\gcode\gcodeparseresult.h", "C++", 0, 54, 8, 15, 77
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\gcode\gcodeparseresulttype.cpp", "C++", 0, 17, 1, 1, 19
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\gcode\gcodeparseresulttype.h", "C++", 0, 11, 6, 3, 20
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\gcode\gcodeperipherals.h", "C++", 0, 9, 6, 3, 18
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\gcode\gcodespeedprofile.h", "C++", 0, 6, 6, 3, 15
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\gcode\gcodetrajectory.h", "C++", 0, 13, 8, 5, 26
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\gcode\todo.md", "Markdown", 2, 0, 0, 1, 3
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\general\axis.cpp", "C++", 0, 17, 0, 2, 19
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\general\axis.h", "C++", 0, 10, 7, 3, 20
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\general\buildconfig.h", "C++", 0, 2, 12, 3, 17
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\general\motionstrategy.cpp", "C++", 0, 15, 0, 1, 16
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\general\motionstrategy.h", "C++", 0, 7, 6, 3, 16
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\general\plane.cpp", "C++", 0, 17, 0, 2, 19
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\general\plane.h", "C++", 0, 10, 6, 3, 19
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\general\rotationdirection.cpp", "C++", 0, 14, 0, 2, 16
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\general\rotationdirection.h", "C++", 0, 7, 6, 4, 17
