"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\Pascal\Documents\GitHub\Moovr\test\generic-eventbuffer\unittest-eventbuffer.cpp", "C++", 57, 0, 8, 65
"c:\Users\Pascal\Documents\GitHub\Moovr\test\generic-stepbuffer\unittest-stepbuffer.cpp", "C++", 50, 2, 10, 62
"c:\Users\Pascal\Documents\GitHub\Moovr\test\generic-stepsignals\unittest-stepsignals.cpp", "C++", 66, 0, 8, 74
"c:\Users\Pascal\Documents\GitHub\Moovr\test\oldtest\HostInterfaceTests.ino", "C++", 98, 11, 28, 137
"c:\Users\Pascal\Documents\GitHub\Moovr\test\oldtest\InputOutputTests.ino", "C++", 112, 8, 21, 141
"c:\Users\Pascal\Documents\GitHub\Moovr\test\oldtest\MotionItemTests.ino", "C++", 23, 6, 11, 40
"c:\Users\Pascal\Documents\GitHub\Moovr\test\oldtest\MotionPartTests.ino", "C++", 57, 10, 11, 78
"c:\Users\Pascal\Documents\GitHub\Moovr\test\oldtest\MotionTests.ino", "C++", 78, 32, 10, 120
"c:\Users\Pascal\Documents\GitHub\Moovr\test\oldtest\StepperTests.ino", "C++", 51, 7, 15, 73
"c:\Users\Pascal\Documents\GitHub\Moovr\test\oldtest\UnitTestGCodeAndMotion.cpp", "C++", 169, 6, 34, 209
"c:\Users\Pascal\Documents\GitHub\Moovr\test\oldtest\UnitTestGCodeBlock.cpp", "C++", 40, 0, 5, 45
"c:\Users\Pascal\Documents\GitHub\Moovr\test\oldtest\UnitTestGCodeParser.cpp", "C++", 59, 0, 14, 73
"c:\Users\Pascal\Documents\GitHub\Moovr\test\oldtest\UnitTestGCodeWord.cpp", "C++", 14, 0, 3, 17
"c:\Users\Pascal\Documents\GitHub\Moovr\test\oldtest\UnitTestMainCtrl.cpp", "C++", 20, 0, 2, 22
"c:\Users\Pascal\Documents\GitHub\Moovr\test\oldtest\UnitTestMotion.cpp", "C++", 84, 3, 13, 100
"c:\Users\Pascal\Documents\GitHub\Moovr\test\oldtest\UnitTestMotionBuffer.cpp", "C++", 67, 0, 11, 78
"c:\Users\Pascal\Documents\GitHub\Moovr\test\oldtest\UnitTestMotionControl.cpp", "C++", 318, 0, 45, 363
"c:\Users\Pascal\Documents\GitHub\Moovr\test\oldtest\UnitTestSpeedProfile.cpp", "C++", 33, 0, 2, 35
"c:\Users\Pascal\Documents\GitHub\Moovr\test\oldtest\UnitTestTrajectory.cpp", "C++", 23, 0, 2, 25
"c:\Users\Pascal\Documents\GitHub\Moovr\test\oldtest\UnitTestingTarget.ino", "C++", 95, 9, 15, 119
